"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"ORC4",1.5817097339218e-52,-0.812979556060703,1,1,2.16504428379216e-48,"ORC4"
"ORAI2",7.9434533619624e-52,-0.844376314409816,0.983,1,1.08729989618541e-47,"ORAI2"
"GATD1",1.55936284279075e-51,-0.841078931412256,1,0.996,2.13445585921198e-47,"GATD1"
"ODF2L",4.70263549187197e-51,-0.809619515005783,1,1,6.43696746127435e-47,"ODF2L"
"MALAT1",7.83227569239296e-51,-0.769337113040993,1,1,1.07208189677475e-46,"MALAT1"
"CYP20A1",1.34503355309262e-50,-0.899199690128178,0.983,1,1.84108192747318e-46,"CYP20A1"
"L2HGDH",3.41034954566042e-49,-0.863671585245947,0.974,0.992,4.66808645809998e-45,"L2HGDH"
"EEF1A1",7.68890731315659e-49,-0.65308162363005,1,1,1.05245763302487e-44,"EEF1A1"
"ZNF793",9.33337770352856e-49,-0.922982799824595,0.957,0.988,1.27755274005899e-44,"ZNF793"
"ZBTB8A",9.71039421501285e-49,-0.897667474919446,0.983,0.984,1.32915876015096e-44,"ZBTB8A"
"METTL21A",2.21479156992819e-48,-0.77079384100378,0.991,0.984,3.03160670091771e-44,"METTL21A"
"ABCC9",2.35471626934138e-48,-0.929821387156252,0.965,0.984,3.22313562947448e-44,"ABCC9"
"XPNPEP3",6.2461855206814e-48,-0.889848481046186,0.965,0.984,8.54977874070871e-44,"XPNPEP3"
"NMNAT1",8.31119526970022e-48,-0.897382534199085,0.974,0.98,1.13763640851657e-43,"NMNAT1"
"RBMS2",9.05278619956713e-48,-0.936415308194879,0.983,0.984,1.23914537499675e-43,"RBMS2"
"DFFA",1.23177942026729e-47,-0.831646219151772,0.965,0.988,1.68605967046187e-43,"DFFA"
"PRR11",2.01637320604217e-47,-0.77937591606046,0.983,0.992,2.76001164443053e-43,"PRR11"
"RPS27",2.04785238127265e-47,-0.683495400821484,1,0.996,2.803100339486e-43,"RPS27"
"MTRNR2L8",2.04785238127265e-47,-0.596711815448502,1,1,2.803100339486e-43,"MTRNR2L8"
"TLCD2",2.22601968962943e-47,-0.9024066750867,0.974,0.98,3.04697575116476e-43,"TLCD2"
"MTRNR2L1",3.00580526343131e-47,-0.602363478313654,1,1,4.11434624458478e-43,"MTRNR2L1"
"B2M",4.2108888412708e-47,-0.617339909136265,1,1,5.76386464593147e-43,"B2M"
"LPP",4.61592283516132e-47,-0.918446581419564,0.983,1,6.31827517676881e-43,"LPP"
"RPL13",7.24656964454762e-47,-0.727150898378566,0.991,0.996,9.91910452945678e-43,"RPL13"
"RPL10",9.46532637044393e-47,-0.674451346067098,1,0.996,1.29561387358636e-42,"RPL10"
"TMSB4X",1.13655734722701e-46,-0.612838397446258,1,1,1.55571969688433e-42,"TMSB4X"
"CFLAR",1.26446967727927e-46,-0.706563223397537,1,1,1.73080609425987e-42,"CFLAR"
"RPS25",2.96190611219137e-46,-0.672282685295894,1,0.988,4.05425708636754e-42,"RPS25"
"MBOAT1",5.49695860223536e-46,-0.85002320289679,0.957,0.976,7.52423693473976e-42,"MBOAT1"
"SCD5",6.28012714067719e-46,-0.917231691336904,0.93,0.976,8.59623803015893e-42,"SCD5"
"RPS3",8.16399846885091e-46,-0.657092511343115,1,0.996,1.11748811041631e-41,"RPS3"
"CCDC142",8.52965425328797e-46,-0.857988490542647,0.974,0.976,1.16753907419006e-41,"CCDC142"
"CHP1",1.12063507669205e-45,-0.664271459765199,0.991,1,1.53392529297608e-41,"CHP1"
"TRAPPC2",1.6041952517189e-45,-0.841393154362416,0.965,0.972,2.19582246055283e-41,"TRAPPC2"
"IRGQ",1.75965112826174e-45,-0.863435134742928,0.983,0.984,2.40861046436468e-41,"IRGQ"
"POLH",2.91121961502714e-45,-0.826811044280844,0.974,0.996,3.98487740904915e-41,"POLH"
"HLA-C",3.51175724211517e-45,-0.59949281600598,1,0.996,4.80689331300724e-41,"HLA-C"
"RPL3",6.88507207055966e-45,-0.64754952093931,1,0.988,9.42428665018206e-41,"RPL3"
"FBLIM1",8.57618665837159e-45,-0.831586962672581,0.957,0.968,1.1739084297979e-40,"FBLIM1"
"TNFAIP8L1",1.3244611021722e-44,-0.839261309356029,0.983,0.968,1.8129223566533e-40,"TNFAIP8L1"
"RPL9",3.35643499958527e-44,-0.650182743676246,0.991,0.98,4.59428822743231e-40,"RPL9"
"ZNF850",3.46165474332175e-44,-0.983727435130879,0.939,0.968,4.73831301265881e-40,"ZNF850"
"RUNDC1",3.86204417316012e-44,-0.985721367227563,0.913,0.96,5.28636606422157e-40,"RUNDC1"
"TRAF3IP2",3.88087225558135e-44,-0.869675104655531,0.974,0.964,5.31213794343975e-40,"TRAF3IP2"
"RPS14",5.67759992603741e-44,-0.644848793441152,1,0.984,7.77149877876e-40,"RPS14"
"C17orf75",6.08121945228498e-44,-0.892855621443126,0.948,0.968,8.32397318628768e-40,"C17orf75"
"XIAP",6.36355214228257e-44,-0.902480132982612,0.948,0.972,8.71043017235638e-40,"XIAP"
"RPL28",1.27789029249422e-43,-0.672149931255217,1,0.992,1.74917623236608e-39,"RPL28"
"TAF8",1.8286294118762e-43,-0.83282754616141,0.974,0.972,2.50302793897614e-39,"TAF8"
"GNE",2.26366782402584e-43,-0.857500147664974,0.974,0.976,3.09850851752658e-39,"GNE"
"RPS6",2.33377456663737e-43,-0.631493693302244,1,0.98,3.19447062681323e-39,"RPS6"
"HLA-B",3.27015855471975e-43,-0.568719888622545,1,0.988,4.4761930297004e-39,"HLA-B"
"RPS3A",4.07238805661103e-43,-0.639949549731357,0.991,0.984,5.57428477188918e-39,"RPS3A"
"TOR1AIP2",4.38138831240599e-43,-0.78429694402099,0.974,0.992,5.99724432202132e-39,"TOR1AIP2"
"RPL17",5.22146898257278e-43,-0.632053802936437,1,0.98,7.14714674334563e-39,"RPL17"
"RPLP1",8.70300036723882e-43,-0.58259955886581,1,0.988,1.19126669026765e-38,"RPLP1"
"CHST6",1.04634773023329e-42,-0.919954590779161,0.948,0.968,1.43224077314332e-38,"CHST6"
"PLCXD1",1.17868928664873e-42,-0.87494385736958,0.957,0.976,1.61338989556479e-38,"PLCXD1"
"RPS12",1.9079081425124e-42,-0.644040864476399,1,0.976,2.61154466547097e-38,"RPS12"
"RPL19",2.58704790758205e-42,-0.617643728215414,1,0.976,3.54115117589831e-38,"RPL19"
"ACTB",2.90602269303961e-42,-0.525128074963332,1,0.996,3.97776386223261e-38,"ACTB"
"GPR82",7.11562838796117e-42,-0.942678089571058,0.904,0.945,9.73987213744124e-38,"GPR82"
"RPS11",9.0869124299254e-42,-0.625220699171948,1,0.976,1.24381657340819e-37,"RPS11"
"RPL23A",1.04904742270663e-41,-0.621729049636049,1,0.972,1.43593611220083e-37,"RPL23A"
"TAPBP",1.19468900934363e-41,-0.611036230983571,1,0.996,1.63529031598956e-37,"TAPBP"
"PNPO",1.22193023173149e-41,-0.804643495408144,0.965,0.957,1.67257810119406e-37,"PNPO"
"RPL15",1.26536491167653e-41,-0.59870535676228,1,1,1.73203149110283e-37,"RPL15"
"IRF1",1.45884445131085e-41,-0.718777541311121,0.965,0.98,1.9968662849543e-37,"IRF1"
"PPM1K",2.17725389740986e-41,-0.823471108733102,0.974,0.968,2.98022513477461e-37,"PPM1K"
"ZNF264",2.66586416460914e-41,-0.903160065345576,0.983,0.984,3.64903486851698e-37,"ZNF264"
"TK1",3.05942486776819e-41,1.5785225711359,0.609,0.004,4.1877407590011e-37,"TK1"
"TYMS",3.11621137242011e-41,1.61164914236641,0.617,0.008,4.26547012656865e-37,"TYMS"
"RPLP2",5.51466526865459e-41,-0.621781991334704,1,0.96,7.5484738197344e-37,"RPLP2"
"RPS19",5.76236460014078e-41,-0.619710691583341,1,0.972,7.8875246646727e-37,"RPS19"
"RPL18A",6.36657390363752e-41,-0.629370380954414,0.991,0.976,8.71456635929904e-37,"RPL18A"
"RPS18",6.93434700115607e-41,-0.606675858669805,1,0.972,9.49173417518242e-37,"RPS18"
"OPHN1",7.64706127730483e-41,-0.801518559148651,0.983,0.964,1.04672974763749e-36,"OPHN1"
"AP4S1",1.17005752344854e-40,-0.874840774914938,0.939,0.957,1.60157473809636e-36,"AP4S1"
"VHL",1.46423123823689e-40,-0.871820294334303,0.957,0.96,2.00423971889865e-36,"VHL"
"RPL32",2.34613180019175e-40,-0.653191927374585,1,0.96,3.21138520810247e-36,"RPL32"
"SPC25",2.52729768948325e-40,-0.697361476928194,0.965,0.941,3.45936507736467e-36,"SPC25"
"RPL11",2.6674890073849e-40,-0.614884120342341,1,0.972,3.65125895330845e-36,"RPL11"
"LMNB1",5.08984061207509e-40,1.32710704845984,0.73,0.047,6.96697382980839e-36,"LMNB1"
"PNPT1",6.76123706755327e-40,-0.789131025104225,0.983,0.98,9.25478129806692e-36,"PNPT1"
"FKBP14",6.88696726475568e-40,-0.988570936364971,0.913,0.945,9.42688079199758e-36,"FKBP14"
"RPS20",7.46007503068174e-40,-0.614242666968528,1,0.972,1.02113507019972e-35,"RPS20"
"PXMP4",8.6226103378212e-40,-0.890116585013432,0.948,0.953,1.18026290304097e-35,"PXMP4"
"RPS27A",8.74613395625264e-40,-0.620478953608814,0.991,0.957,1.19717081593186e-35,"RPS27A"
"RPS29",1.07262957943482e-39,-0.642523113798054,1,0.957,1.46821536833038e-35,"RPS29"
"RPL7",1.28877577151398e-39,-0.618800060144171,1,0.968,1.76407627604833e-35,"RPL7"
"CCL5",1.46309753641508e-39,-0.62472899361273,1,0.992,2.00268790784497e-35,"CCL5"
"SMC2",1.48750414781231e-39,1.21323565460199,0.73,0.047,2.03609567752549e-35,"SMC2"
"LYRM7",1.8144675152899e-39,-0.85464308496096,0.939,0.96,2.48364313492882e-35,"LYRM7"
"RPL30",2.95315016679027e-39,-0.624838037945499,0.991,0.957,4.04227194830252e-35,"RPL30"
"RAMP2-AS1",4.07966660214431e-39,-0.8965838545455,0.939,0.937,5.58424764501514e-35,"RAMP2-AS1"
"HLA-A",4.78717553637124e-39,-0.541311487323154,1,0.984,6.55268587418495e-35,"HLA-A"
"RPL31",5.64660814945535e-39,-0.592378859494531,1,0.96,7.72907723497448e-35,"RPL31"
"ZWINT",6.16260206561851e-39,1.43082728263722,0.626,0.016,8.43536970741861e-35,"ZWINT"
"MTRNR2L6",6.99304403398936e-39,-0.557993969598134,0.991,0.957,9.57207867372463e-35,"MTRNR2L6"
"RPS8",9.30218015701028e-39,-0.578025675192789,1,0.96,1.27328241989157e-34,"RPS8"
"SMYD4",1.3686603417547e-38,-0.925783326844965,0.904,0.949,1.87342227579383e-34,"SMYD4"
"RPS15",1.57306799889489e-38,-0.607929955797573,1,0.96,2.15321547688732e-34,"RPS15"
"RPS15A",1.78189894285377e-38,-0.616971750264328,1,0.964,2.43906327297824e-34,"RPS15A"
"PTPRC",2.07507901924317e-38,-0.657440126519283,1,0.972,2.84036816154004e-34,"PTPRC"
"RPS4X",2.16026695406407e-38,-0.590092983243208,1,0.96,2.9569734067229e-34,"RPS4X"
"NUSAP1",2.47362890672064e-38,1.41774320136027,0.678,0.043,3.38590324751921e-34,"NUSAP1"
"GK5",3.21045463121899e-38,-0.929441117883979,0.948,0.968,4.39447029921255e-34,"GK5"
"IVD",6.16038180302899e-38,-0.759096194725003,0.957,0.964,8.43233061198609e-34,"IVD"
"LINC00294",6.44821747733241e-38,-0.820830862194645,0.965,0.953,8.8263200829726e-34,"LINC00294"
"ZKSCAN3",7.19585609614769e-38,-0.870549469417177,0.939,0.937,9.84968782440695e-34,"ZKSCAN3"
"MCM2",1.0758436156188e-37,1.41993690501971,0.6,0.016,1.47261474105901e-33,"MCM2"
"LYZ",1.10949054958176e-37,-0.795306728079919,0.939,0.941,1.51867066426751e-33,"LYZ"
"TPT1",1.36062711049202e-37,-0.576437938031202,0.991,0.949,1.86242638884148e-33,"TPT1"
"RPS28",1.36686921477208e-37,-0.629837359773556,0.983,0.945,1.87097058118002e-33,"RPS28"
"NOL9",1.65182014340587e-37,-0.819703691488131,0.957,0.953,2.26101141229395e-33,"NOL9"
"DDX5",2.03889616675873e-37,-0.59703513228438,1,0.96,2.79084107305935e-33,"DDX5"
"CYP4V2",2.38105631560992e-37,-0.83364905874121,0.948,0.953,3.25918988480686e-33,"CYP4V2"
"RPS16",3.36275069278609e-37,-0.57498290221135,1,0.949,4.6029331482856e-33,"RPS16"
"SPN",3.94246433900579e-37,-0.639570986813917,0.974,0.988,5.39644518723113e-33,"SPN"
"RPL34",4.23680794671456e-37,-0.673821725541865,1,0.953,5.79934271746289e-33,"RPL34"
"GDPD1",6.11127497564751e-37,-0.879071054815971,0.93,0.929,8.36511318666631e-33,"GDPD1"
"CABP4",6.5677803183404e-37,-0.875528488253237,0.957,0.933,8.98997769974433e-33,"CABP4"
"TPX2",1.27469647485792e-36,1.30572554332264,0.565,0.012,1.74480453478552e-32,"TPX2"
"IKZF3",1.40148883179607e-36,-0.63965882571877,0.991,0.988,1.91835791296246e-32,"IKZF3"
"TFDP2",1.41449119300547e-36,-0.832088215835167,0.957,0.945,1.93615554498589e-32,"TFDP2"
"MKI67",1.72698291227775e-36,1.24229152483979,0.678,0.051,2.36389421032579e-32,"MKI67"
"RPL27A",1.97268789296561e-36,-0.642758274815883,1,0.972,2.70021518789132e-32,"RPL27A"
"PHACTR4",1.99340070212384e-36,-0.758362014461455,0.974,0.96,2.72856688106711e-32,"PHACTR4"
"CA5B",2.18391950549641e-36,-0.904822330098656,0.922,0.945,2.98934901912349e-32,"CA5B"
"PGM5P2",2.56831490514958e-36,-0.874837215681667,0.913,0.933,3.51550944216874e-32,"PGM5P2"
"CENPU",5.19069537335822e-36,1.2744291721866,0.565,0.012,7.10502382705273e-32,"CENPU"
"ASF1B",6.26492337912202e-36,1.42669342302235,0.557,0.008,8.57542712134222e-32,"ASF1B"
"UGT8",6.75905419269134e-36,-0.854790043139095,0.922,0.937,9.2517933789559e-32,"UGT8"
"P3H4",7.12481235406379e-36,-0.850024677049896,0.922,0.921,9.75244315024252e-32,"P3H4"
"MDM4",8.56834319326776e-36,-0.745816889224728,1,0.98,1.17283481629449e-31,"MDM4"
"PDLIM5",1.00579496007432e-35,-0.834541086689107,0.93,0.953,1.37673214134973e-31,"PDLIM5"
"RPL35A",1.10314522111409e-35,-0.630676212878605,0.991,0.941,1.50998517866096e-31,"RPL35A"
"DDX51",1.25613201016619e-35,-0.93469276465598,0.896,0.929,1.71939349551548e-31,"DDX51"
"SCAI",1.38742450587238e-35,-0.860817186166215,0.93,0.96,1.89910666363811e-31,"SCAI"
"PLEKHA5",1.58387012799153e-35,-0.847216513772848,0.948,0.953,2.16800143119481e-31,"PLEKHA5"
"HLA-E",1.6187685879126e-35,-0.583883971402462,1,0.972,2.21577044313476e-31,"HLA-E"
"UGGT1",1.94387539528612e-35,-0.761501135622929,0.965,0.968,2.66077664106765e-31,"UGGT1"
"NMT2",2.09413367101892e-35,-0.92871793153279,0.904,0.941,2.8664501688907e-31,"NMT2"
"MEFV",2.3395972199799e-35,-0.87987954217825,0.93,0.913,3.20244067470849e-31,"MEFV"
"GATAD1",2.37069915603329e-35,-0.899943746127015,0.913,0.921,3.24501300477837e-31,"GATAD1"
"PHAX",2.39386182395454e-35,-0.747541774653812,0.939,0.949,3.27671806462897e-31,"PHAX"
"RPL5",2.70420885469377e-35,-0.540520427948666,1,0.953,3.70152108030483e-31,"RPL5"
"ZNF471",3.22538771453379e-35,-0.915851750914858,0.93,0.933,4.41491070365385e-31,"ZNF471"
"MCTS1",4.33375759911224e-35,-0.790323647494445,0.948,0.964,5.93204740166483e-31,"MCTS1"
"RPL26",4.95643379711029e-35,-0.584433183668715,0.991,0.933,6.78436658148457e-31,"RPL26"
"ZFP14",1.06803768708357e-34,-0.902699084463329,0.93,0.937,1.46192998607999e-30,"ZFP14"
"GINS2",1.57813828886356e-34,1.41887831477697,0.522,0.004,2.16015568979644e-30,"GINS2"
"RPL23",1.60378026852082e-34,-0.580800024122222,1,0.937,2.1952544315513e-30,"RPL23"
"CARMN",1.61725267068748e-34,-0.910775050366671,0.896,0.933,2.21369545563702e-30,"CARMN"
"SPIB",1.72501965697959e-34,-0.946910569533788,0.852,0.921,2.36120690647366e-30,"SPIB"
"COX18",2.08172134983919e-34,-0.882162153826205,0.904,0.921,2.84946018365989e-30,"COX18"
"FEN1",2.4423051412649e-34,1.31408603286876,0.635,0.04,3.34302727736339e-30,"FEN1"
"RNF125",2.57280364953263e-34,-0.812697347355448,0.957,0.949,3.52165363548026e-30,"RNF125"
"S1PR2",2.93376608631501e-34,-0.788124196720593,0.957,0.937,4.01573901894799e-30,"S1PR2"
"CXCR4",3.06140167824032e-34,-0.770425392304741,0.896,0.921,4.19044661717535e-30,"CXCR4"
"RPL39",3.54585877987911e-34,-0.573183057412588,1,0.937,4.85357149789852e-30,"RPL39"
"IBA57",3.80327185144687e-34,-0.875956091984394,0.939,0.945,5.20591851026047e-30,"IBA57"
"GPR155",5.89469643702373e-34,-0.927805951926823,0.93,0.945,8.06866048299807e-30,"GPR155"
"XRCC2",6.04590760032988e-34,-0.81123249935778,0.939,0.921,8.27563832333154e-30,"XRCC2"
"PCNA",7.06258976692639e-34,1.42933544219971,0.774,0.091,9.66727287296884e-30,"PCNA"
"FANCI",7.66527942777232e-34,1.1181135568306,0.591,0.028,1.04922344807348e-29,"FANCI"
"UBE2T",8.0163423850791e-34,1.32839185601673,0.574,0.02,1.09727694566963e-29,"UBE2T"
"ASPM",8.76658303201004e-34,1.0895581969233,0.591,0.032,1.19996988542153e-29,"ASPM"
"HOOK3",9.24243618430701e-34,-0.796104451078887,0.965,0.957,1.26510466490794e-29,"HOOK3"
"TMEM106C",1.30304233560348e-33,1.35556046046465,0.626,0.036,1.78360434897404e-29,"TMEM106C"
"RPL4",2.13136641809415e-33,-0.546576907406324,0.991,0.945,2.91741435308727e-29,"RPL4"
"BIRC5",2.17458139193808e-33,1.30732163909793,0.53,0.016,2.97656700928484e-29,"BIRC5"
"TOP2A",2.49277806100448e-33,1.31753012930524,0.591,0.036,3.41211460990294e-29,"TOP2A"
"GJC1",2.81230703742958e-33,-0.941302627434463,0.913,0.913,3.84948587283361e-29,"GJC1"
"HELLS",2.92017108794014e-33,1.06446054394032,0.548,0.016,3.99713018517246e-29,"HELLS"
"FXN",3.80642281555172e-33,-0.838223577023105,0.957,0.937,5.21023154992719e-29,"FXN"
"OPA3",4.12376901984651e-33,-0.780744369630795,0.948,0.949,5.6446150343659e-29,"OPA3"
"CCNA2",4.36084475664339e-33,1.25887666574074,0.574,0.024,5.96912430289348e-29,"CCNA2"
"EMP2",4.4464856956259e-33,-0.916081777873903,0.896,0.909,6.08634962017273e-29,"EMP2"
"ICA1L",4.91166349300712e-33,-0.867977003947279,0.957,0.925,6.72308498922815e-29,"ICA1L"
"AP1S3",5.5292823989037e-33,-0.776326524958173,0.957,0.921,7.56848174761938e-29,"AP1S3"
"RNF41",6.04475405033946e-33,-0.814995692660236,0.939,0.929,8.27405934410465e-29,"RNF41"
"AGMAT",7.84383669365289e-33,-0.881583557420919,0.878,0.913,1.07366436662721e-28,"AGMAT"
"GFOD2",1.58564148803627e-32,-0.844707459994093,0.887,0.937,2.17042606882404e-28,"GFOD2"
"KLRD1",2.18638695544653e-32,-0.72704097120511,0.948,0.968,2.99272646461521e-28,"KLRD1"
"ILF3-DT",2.34688663706441e-32,-0.777793569273914,0.878,0.909,3.21241842881376e-28,"ILF3-DT"
"RPL37A",2.42191039394007e-32,-0.559997176366142,1,0.913,3.31511094722517e-28,"RPL37A"
"ANAPC16",2.64678681968656e-32,-0.63436500707767,0.974,0.968,3.62292179878697e-28,"ANAPC16"
"TVP23C",2.73559696619573e-32,-0.814953773109104,0.904,0.925,3.74448512732872e-28,"TVP23C"
"MAD2L1",4.98277949846068e-32,1.27208237918281,0.617,0.04,6.82042857749298e-28,"MAD2L1"
"RPL27",5.63320464427841e-32,-0.555061557453005,1,0.917,7.71073051708828e-28,"RPL27"
"ANAPC11",5.65941609339507e-32,1.14711422715858,0.809,0.099,7.74660874863918e-28,"ANAPC11"
"HNRNPH1",5.76461952772721e-32,-0.651628929788046,1,0.953,7.89061120955301e-28,"HNRNPH1"
"PIGX",5.78673678174585e-32,-0.871167259015725,0.922,0.901,7.92088530685372e-28,"PIGX"
"ZC3H12D",5.83766748221578e-32,-0.785470131524369,0.948,0.937,7.99059924965696e-28,"ZC3H12D"
"DUT",6.50564548236594e-32,1.17695017484247,0.817,0.119,8.9049275362625e-28,"DUT"
"ACADM",8.8002826517624e-32,1.08342079100743,0.652,0.055,1.20458268937324e-27,"ACADM"
"RPS24",8.94389554687296e-32,-0.54808504702247,1,0.964,1.22424042245597e-27,"RPS24"
"KIFC1",9.64550124586943e-32,1.24424762903073,0.496,0.008,1.32027621053461e-27,"KIFC1"
"DNAL1",1.47913556365792e-31,-0.849577667349878,0.93,0.933,2.02464075953496e-27,"DNAL1"
"PABPC1",1.78440881432969e-31,-0.541883002113984,1,0.929,2.44249878505448e-27,"PABPC1"
"NME1",1.80628803924522e-31,1.29965154725924,0.643,0.051,2.47244706811886e-27,"NME1"
"RPS13",1.81344941228009e-31,-0.558003650131452,0.983,0.917,2.48224955552899e-27,"RPS13"
"RPL6",1.88975299016308e-31,-0.537805016882584,0.991,0.909,2.58669389293522e-27,"RPL6"
"EIF1",1.94454932226982e-31,-0.59180928602278,0.965,0.917,2.66169911232292e-27,"EIF1"
"IFT22",2.09673579322291e-31,-0.825802708176177,0.904,0.901,2.87001195376351e-27,"IFT22"
"CDK1",2.14452740327756e-31,1.36270120758798,0.496,0.008,2.93542910960632e-27,"CDK1"
"UHRF1",2.50443691599886e-31,1.20127653024446,0.513,0.016,3.42807325061924e-27,"UHRF1"
"AURKB",2.8368337503964e-31,1.29710063761202,0.478,0.004,3.88305803754259e-27,"AURKB"
"MTHFD2",3.64496427128096e-31,1.18414312843341,0.774,0.103,4.98922709452938e-27,"MTHFD2"
"GMNN",4.0234460258059e-31,1.18675863606921,0.574,0.032,5.50729292012312e-27,"GMNN"
"MCM7",5.78551171574837e-31,1.27630711941093,0.757,0.099,7.91920843651637e-27,"MCM7"
"RAB42",6.25842069323403e-31,-0.888652490444705,0.835,0.877,8.56652624489874e-27,"RAB42"
"UBA52",6.65852169538735e-31,-0.586884415325432,1,0.953,9.1141844966462e-27,"UBA52"
"SLC35E3",6.93030891430108e-31,-0.762679102073642,0.922,0.905,9.48620684189531e-27,"SLC35E3"
"RPL10A",8.17467732154369e-31,-0.568643279706125,0.983,0.913,1.1189498317729e-26,"RPL10A"
"IRAK4",8.31922155137263e-31,-0.829077026778589,0.922,0.909,1.13873504595189e-26,"IRAK4"
"SLC43A3",8.99596366027664e-31,1.13492491688528,0.609,0.043,1.23136750581867e-26,"SLC43A3"
"MIGA1",1.15994812497497e-30,-0.818457026170483,0.957,0.925,1.58773699346574e-26,"MIGA1"
"CLCC1",1.43933985978075e-30,-0.814871680785692,0.913,0.929,1.97016840006789e-26,"CLCC1"
"MRI1",2.25778409686858e-30,-0.843743571293012,0.87,0.893,3.09045487179372e-26,"MRI1"
"FABP5",2.87474093629668e-30,1.22379100495505,0.913,0.158,3.93494539360289e-26,"FABP5"
"RANBP1",2.9217564930511e-30,1.20399411472086,0.757,0.095,3.99930028768835e-26,"RANBP1"
"PGPEP1",3.09598298046846e-30,-0.826235094863284,0.939,0.913,4.23778150366523e-26,"PGPEP1"
"FBXL20",3.63864080916458e-30,-0.801226586379021,0.939,0.949,4.98057153958448e-26,"FBXL20"
"MAVS",3.77603494425768e-30,-0.81810505465644,0.939,0.937,5.16863663169991e-26,"MAVS"
"GREB1",4.33847964738703e-30,-0.829967686938095,0.887,0.921,5.93851094134336e-26,"GREB1"
"XAF1",6.01069842741333e-30,-0.737138317003755,0.93,0.949,8.22744400744337e-26,"XAF1"
"RPL29",6.03358525536121e-30,-0.54474045979393,0.983,0.909,8.25877149753843e-26,"RPL29"
"ATXN3",6.17748936703774e-30,-0.848149514622006,0.887,0.917,8.45574744560125e-26,"ATXN3"
"ARRDC3-AS1",7.84528103792485e-30,-0.923527631684187,0.87,0.877,1.07386206847115e-25,"ARRDC3-AS1"
"KIF1C",9.10474691704149e-30,-0.967949781328735,0.817,0.889,1.24625775800464e-25,"KIF1C"
"CENPF",1.1096008235714e-29,0.889055282616646,0.591,0.047,1.51882160730454e-25,"CENPF"
"SGTB",1.18245955198009e-29,-0.801154893563812,0.957,0.925,1.61855063475034e-25,"SGTB"
"FBXL18",1.47513572547288e-29,-0.809245681438946,0.922,0.921,2.01916578102728e-25,"FBXL18"
"MTHFD1",1.49923769768002e-29,1.15649307369443,0.67,0.079,2.05215656058442e-25,"MTHFD1"
"MXRA7",1.6069409711045e-29,-0.831421713686208,0.922,0.893,2.19958080124785e-25,"MXRA7"
"PTMA",1.70380170965894e-29,-0.443905807559276,1,0.929,2.33216378018116e-25,"PTMA"
"BUB1",1.80393249563095e-29,1.10306693688222,0.504,0.02,2.46922280001964e-25,"BUB1"
"OR7D2",1.94729396926452e-29,-0.87569383287087,0.878,0.885,2.66545598512928e-25,"OR7D2"
"SLC12A6",2.57018734373492e-29,-0.907021815442729,0.843,0.909,3.51807243610436e-25,"SLC12A6"
"MRPL12",3.14973886565924e-29,1.10620065111581,0.539,0.028,4.31136255931437e-25,"MRPL12"
"MCFD2",4.81273180469639e-29,-0.711129873159178,0.965,0.937,6.58766729426841e-25,"MCFD2"
"CCL22",5.9277047797622e-29,-0.842759287855211,0.887,0.885,8.1138423025385e-25,"CCL22"
"MCM6",6.63038609010266e-29,1.08310981068798,0.739,0.107,9.07567248013252e-25,"MCM6"
"PTTG1",7.25782285574954e-29,1.19606684689294,0.696,0.079,9.93450792494997e-25,"PTTG1"
"FOXK1",8.00438892607083e-29,-0.861620962282243,0.922,0.929,1.09564075620058e-24,"FOXK1"
"SLC35F6",8.36979342775364e-29,-0.770542926659044,0.93,0.921,1.14565732439092e-24,"SLC35F6"
"CKS1B",9.00306453868709e-29,1.26905493249471,0.609,0.055,1.23233947405549e-24,"CKS1B"
"USP33",1.09899968127676e-28,-0.675648302469949,0.957,0.941,1.50431076373163e-24,"USP33"
"BLOC1S1",1.10138805886217e-28,1.12346445361656,0.826,0.123,1.50757997497053e-24,"BLOC1S1"
"ACOT7",1.23613902146972e-28,1.22892217473249,0.452,0.008,1.69202709258775e-24,"ACOT7"
"NDUFV3",1.27219795790077e-28,-0.895325118627343,0.826,0.877,1.74138456477457e-24,"NDUFV3"
"TANGO2",1.36143597397643e-28,-0.823899433123125,0.852,0.913,1.86353356117894e-24,"TANGO2"
"LRRC57",1.49837633807915e-28,-0.727725140585741,0.93,0.897,2.05097753156274e-24,"LRRC57"
"RBM34",1.503594412146e-28,-0.635879027849352,0.948,0.905,2.05812003134545e-24,"RBM34"
"RPL38",1.62154354859115e-28,-0.588886446883001,0.965,0.889,2.21956880931156e-24,"RPL38"
"ZNF814",1.74700368664759e-28,-0.855099383302837,0.93,0.909,2.39129864628323e-24,"ZNF814"
"CEP104",2.67612875538659e-28,-0.885111939005905,0.843,0.897,3.66308504037317e-24,"CEP104"
"DESI1",2.85456906812018e-28,-0.695323560668363,0.93,0.905,3.9073341404429e-24,"DESI1"
"CARD8",3.31417192954162e-28,-0.69446179665496,0.965,0.941,4.53643853715657e-24,"CARD8"
"SLC4A8",4.58131162143287e-28,-0.876263485360671,0.913,0.905,6.27089934741731e-24,"SLC4A8"
"RPS10",4.66249811800079e-28,-0.532470318026793,0.974,0.877,6.38202742391948e-24,"RPS10"
"NUDT19",4.82917660676097e-28,-0.764819718603468,0.904,0.909,6.61017693933442e-24,"NUDT19"
