"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"MFSD13A",0.0703427715844073,-0.168768056930963,0.478,0.296,1,"MFSD13A"
"CRLF3",0.0706552220127082,-0.371317503334285,0.748,0.621,1,"CRLF3"
"TRABD2A",0.0710260775639653,-0.0557260273939274,0.07,0.028,1,"TRABD2A"
"SBDS",0.0711750171716148,-0.205019939357787,0.4,0.229,1,"SBDS"
"ZBTB41",0.0712048026093004,-0.100555955154728,0.13,0.067,1,"ZBTB41"
"ZNF496",0.0712889218411665,-0.160026052974656,0.096,0.043,1,"ZNF496"
"EGR3",0.0715100616453374,-0.0681274804399555,0.07,0.028,1,"EGR3"
"TGFB3",0.0715100616453374,-0.0236610647791614,0.07,0.028,1,"TGFB3"
"ANKRD55",0.0715100616453374,-0.0449055730698875,0.07,0.028,1,"ANKRD55"
"UBE2B",0.0716562194279656,-0.0419181999832088,0.748,0.474,1,"UBE2B"
"PPP1R13B",0.071996744982338,-0.0937282726300909,0.07,0.028,1,"PPP1R13B"
"ZNF724",0.071996744982338,-0.0632684758813249,0.07,0.028,1,"ZNF724"
"SULT1A2",0.0720999118793932,-0.0927123172171647,0.096,0.043,1,"SULT1A2"
"SPATA24",0.0724650583508631,-0.226116610834654,0,0.028,1,"SPATA24"
"NEIL2",0.0724670919868377,-0.103456764697525,0.2,0.115,1,"NEIL2"
"GMFG",0.0724708500049974,0.0897499159222916,0.861,0.415,1,"GMFG"
"IL16",0.072485924787011,-0.480991600110022,0.617,0.51,1,"IL16"
"EIF4A1",0.0728000034949748,0.256930201086878,0.957,0.49,1,"EIF4A1"
"BMPR1A",0.0728781012745379,0.0583307707699917,0.087,0.04,1,"BMPR1A"
"MED13L",0.0732607300769343,-0.253616271598797,0.322,0.19,1,"MED13L"
"COMMD9",0.0733017808941269,-0.433085886521459,0.67,0.545,1,"COMMD9"
"ATP1A3",0.0733089791493564,-0.000936600414127631,0.087,0.04,1,"ATP1A3"
"HECA",0.073556026828284,-0.45719930027199,0.661,0.557,1,"HECA"
"C19orf12",0.0737209968657328,-0.41950647581234,0.583,0.518,1,"C19orf12"
"ZBTB8B",0.0739190238086151,-0.155480633497657,0.243,0.142,1,"ZBTB8B"
"USP14",0.0743342563400679,-0.300485720430012,0.783,0.644,1,"USP14"
"ARAP2",0.0746289287735456,-0.28676550110958,0.661,0.356,1,"ARAP2"
"MECP2",0.074753011553439,-0.3068280679858,0.452,0.277,1,"MECP2"
"CD6",0.0748238475564934,-0.126156131440605,0.609,0.348,1,"CD6"
"ZNF274",0.0748591619196129,-0.148185108378492,0.217,0.123,1,"ZNF274"
"TAF1A",0.0748769110028669,-0.487547100310935,0.522,0.451,1,"TAF1A"
"TBC1D8",0.075499973547794,-0.0992085918675738,0.113,0.055,1,"TBC1D8"
"DNAJC16",0.0755039608320017,-0.598584155034145,0.565,0.482,1,"DNAJC16"
"F2RL1",0.07588025134812,-0.500342968662005,0.252,0.285,1,"F2RL1"
"DAPP1",0.0760551827643618,-0.0824226611274627,0.53,0.344,1,"DAPP1"
"SSR4",0.0761690416583349,0.0846170980743617,0.809,0.411,1,"SSR4"
"FRG1BP",0.0763833289967198,-0.237135529236604,0.409,0.233,1,"FRG1BP"
"P2RY6",0.0763837959056683,-0.00554823410857837,0.087,0.04,1,"P2RY6"
"TRIM68",0.0764812633093264,-0.524227946363025,0.574,0.482,1,"TRIM68"
"CSRNP2",0.0765463000410599,-0.224192721589019,0.157,0.083,1,"CSRNP2"
"ITSN2",0.0765654143345647,-0.251627157761157,0.609,0.344,1,"ITSN2"
"SLC19A2",0.0766607036923144,-0.100546918527778,0.113,0.055,1,"SLC19A2"
"WTAP",0.0767740722509533,-0.0260768772037967,0.835,0.447,1,"WTAP"
"GSDMB",0.0769806903646875,-0.202886468662712,0.209,0.119,1,"GSDMB"
"MEF2A",0.0770064631415806,-0.134040895014587,0.417,0.273,1,"MEF2A"
"ZDHHC3",0.0772412701553578,-0.303952930211984,0.739,0.628,1,"ZDHHC3"
"NOP53",0.0773167257436821,-0.135684909990094,0.591,0.336,1,"NOP53"
"RIMKLB",0.0774425760206934,-0.13887444413104,0.113,0.055,1,"RIMKLB"
"HPS6",0.0775149517792964,0.0542663226188679,0.061,0.024,1,"HPS6"
"PCCA",0.0775250860547428,-0.0728649018662609,0.13,0.067,1,"PCCA"
"FCGR2C",0.0779737485110561,-0.00182363838237626,0.165,0.095,1,"FCGR2C"
"PARP8",0.0780205630949647,-0.543767857790387,0.635,0.514,1,"PARP8"
"PTPRZ1",0.0784743347940195,-0.0456669189221421,0.104,0.051,1,"PTPRZ1"
"GON4L",0.078935444000049,-0.342377892694526,0.47,0.265,1,"GON4L"
"BTBD9",0.080005707205424,-0.346705816770765,0.27,0.154,1,"BTBD9"
"NEAT1",0.0801196505211564,-0.433567602315551,0.774,0.561,1,"NEAT1"
"HSP90B1",0.0803217434418815,0.147065888255813,0.878,0.458,1,"HSP90B1"
"ATP6V1C1",0.0803494882355078,-0.0634138586821614,0.478,0.328,1,"ATP6V1C1"
"ACBD4",0.0804384038089195,-0.52559669331969,0.522,0.443,1,"ACBD4"
"IL18BP",0.0808525351101579,-0.0731355744246555,0.13,0.067,1,"IL18BP"
"CARD14",0.0809055605667354,0.0180427795122797,0.061,0.024,1,"CARD14"
"SKIL",0.0809064371482574,-0.224267673884233,0.574,0.372,1,"SKIL"
"FOCAD",0.0811389429979579,-0.170480001577511,0.557,0.348,1,"FOCAD"
"KLHDC1",0.0814274356113035,-0.0412384519021344,0.087,0.04,1,"KLHDC1"
"AHNAK2",0.0814821989161317,0.0072134618806645,0.061,0.024,1,"AHNAK2"
"HMGN1",0.0818317443613999,0.195229649868027,0.93,0.482,1,"HMGN1"
"COTL1",0.0818491056577656,0.228179143601167,0.991,0.506,1,"COTL1"
"DIXDC1",0.0820868211517694,-0.397054870385832,0.365,0.364,1,"DIXDC1"
