"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NDUFA21",2.13121134581281e-08,0.530791784168673,0.817,0.826,0.000326565514518897,"11","NDUFA2"
"KLHDC3",2.29977432331791e-08,0.615809610298995,0.683,0.626,0.000352394419562003,"11","KLHDC3"
"AURKA",2.43372200307089e-08,0.617916120202831,0.25,0.095,0.000372919222530553,"11","AURKA"
"PDCD5",2.43841776279092e-08,0.527601330762112,0.798,0.762,0.000373638753792452,"11","PDCD5"
"PPP1R3C1",2.46950877110838e-08,0.755032401923545,0.423,0.243,0.000378402828996937,"11","PPP1R3C"
"RBP71",2.53220100028243e-08,0.596494182618005,0.25,0.096,0.000388009159273276,"11","RBP7"
"DNAJC15",2.97272174452569e-08,0.583406663333706,0.788,0.76,0.000455510152913672,"11","DNAJC15"
"SPAG71",3.00022828137706e-08,0.569939636676675,0.731,0.688,0.000459724979555408,"11","SPAG7"
"GPI2",3.55595035386131e-08,0.671211916400023,0.577,0.436,0.000544878272722169,"11","GPI"
"FAM162A2",4.51615894959016e-08,0.942508150483286,0.606,0.471,0.0006920110358457,"11","FAM162A"
"TCEB11",4.77491203762905e-08,0.556531102489267,0.76,0.788,0.000731659771525899,"11","TCEB1"
"UBE2T",4.93223621414557e-08,1.15749295501351,0.394,0.226,0.000755766555093525,"11","UBE2T"
"OLA1",5.08464603191595e-08,0.650366409464799,0.625,0.533,0.00077912031147048,"11","OLA1"
"PLP22",5.45911160096362e-08,0.677873763691584,0.452,0.263,0.000836499670615655,"11","PLP2"
"STRAP",5.65251382500312e-08,0.512379938254451,0.74,0.709,0.000866134693405228,"11","STRAP"
"NPPB1",6.95376646819697e-08,0.948683845150062,0.25,0.096,0.00106552563592182,"11","NPPB"
"LGALS33",7.40877554672946e-08,0.641036133865981,0.558,0.35,0.00113524667702536,"11","LGALS3"
"FH",1.14090038093803e-07,0.747116379384548,0.548,0.455,0.00174820165371135,"11","FH"
"PGM13",1.48412100155895e-07,0.672372781021719,0.519,0.376,0.00227411861068878,"11","PGM1"
"ACYP1",1.50977875544767e-07,0.793563099532208,0.365,0.208,0.00231343398697246,"11","ACYP1"
"PBK",1.72833130759258e-07,0.709521997864411,0.25,0.105,0.00264832206262411,"11","PBK"
"PAIP2B1",1.77082163616032e-07,0.506527401628944,0.327,0.158,0.00271342999308845,"11","PAIP2B"
"MAD2L11",4.317603041894e-07,0.686198452466531,0.337,0.177,0.00661586314109418,"11","MAD2L1"
"MRPS361",4.33500493287581e-07,0.64360763686105,0.663,0.622,0.0066425280586456,"11","MRPS36"
"C19orf702",6.06679758319509e-07,0.61283179069623,0.731,0.715,0.00929615393672984,"11","C19orf70"
"ATPIF11",6.35938470391438e-07,0.5040261452707,0.875,0.84,0.00974448518180801,"11","ATPIF1"
"FKBP3",6.52455620471207e-07,0.62963417266822,0.779,0.764,0.0099975774724803,"11","FKBP3"
"AIF1L",6.63717616406518e-07,0.702702021429027,0.26,0.119,0.0101701450361971,"11","AIF1L"
