"","group","median","sd"
"1","CC",0.74486579390643,0.0584519542032213
"2","HPC",0.836426778051229,0.0472023701188707
"3","L1",0.134292277045647,0.103583090594067
"4","L2/3",0.215006428252274,0.0919557608314547
"5","L4",0.337776728382412,0.0703287296483846
"6","L5",0.471092163067811,0.0625243511350518
"7","L6",0.614691196110052,0.0620040209675152
