"","group","median","sd"
"1","Layer3",0.238625487749596,0.139363157368343
"2","Layer4",0.268367186389236,0.130141490719731
"3","Layer5",0.379702513117907,0.129420187004209
"4","Layer6",0.456349027301054,0.128506358617817
"5","WM",0.518870373292317,0.130867526662178
