"","group","median","sd"
"1","Layer3",0.322760272745806,0.181965977371495
"2","Layer4",0.388221813038658,0.176040807366736
"3","Layer5",0.444098793582816,0.165404655566769
"4","Layer6",0.512184732436032,0.149717334978403
"5","WM",0.53967518532328,0.126010261367522
