"","group","median","sd"
"1","CC",0.472490061538829,0.177424199444044
"2","HPC",0.429075637809867,0.198787384844337
"3","L1",0.170162009519315,0.137634938962064
"4","L2/3",0.164081585991465,0.126112726257255
"5","L4",0.191227613302833,0.12540786838298
"6","L5",0.299002535909068,0.161034097302899
"7","L6",0.370036477641814,0.166887067380849
