"","simulation","ARI","method"
"123","sim14",0.768423043012968,"DR.SC"
"124","sim14",0.782029412346874,"BayesSpace"
"125","sim14",0.717375641646717,"SpaGCN"
"126","sim14",0.565062257833229,"STAGATE"
"127","sim15",0.810419106586695,"scSpace"
"128","sim15",0.567078257096469,"louvain"
"129","sim15",0.49338646685376,"kmeans"
"130","sim15",0.299411791005529,"hclust"
"131","sim15",0.427358569646234,"scCoGAPS"
"132","sim15",0.504841066230249,"DR.SC"
"133","sim15",0.462808392002178,"BayesSpace"
"134","sim15",0.455902865347774,"SpaGCN"
"135","sim15",0.493845268107059,"STAGATE"
"136","sim16",0.863427000792721,"scSpace"
"137","sim16",0.608489607911388,"louvain"
"138","sim16",0.614514345295202,"kmeans"
"139","sim16",0.00455304871698735,"hclust"
"140","sim16",0.39847450360946,"scCoGAPS"
"141","sim16",0.226611760544181,"DR.SC"
"142","sim16",0.531950312845432,"BayesSpace"
"143","sim16",0.431308463254843,"SpaGCN"
"144","sim16",0.544596091445481,"STAGATE"
"145","sim17",0.947596694301132,"scSpace"
"146","sim17",0.855768163021057,"louvain"
"147","sim17",0.878868597619754,"kmeans"
"148","sim17",0.746321099271662,"hclust"
"149","sim17",0.794214549545709,"scCoGAPS"
"150","sim17",0.598251708304969,"DR.SC"
"151","sim17",0.69797877698803,"BayesSpace"
"152","sim17",0.730234463322293,"SpaGCN"
"153","sim17",0.655554083515267,"STAGATE"
"154","sim18",0.911247056324263,"scSpace"
"155","sim18",0.791777656927289,"louvain"
"156","sim18",0.684562291099872,"kmeans"
"157","sim18",0.506440145749322,"hclust"
"158","sim18",0.560063863798178,"scCoGAPS"
"159","sim18",0.777837127311277,"DR.SC"
"160","sim18",0.805400542071358,"BayesSpace"
"161","sim18",0.537480435526535,"SpaGCN"
"162","sim18",0.5004996333606,"STAGATE"
"163","sim19",0.924268114123584,"scSpace"
"164","sim19",0.750605829647166,"louvain"
"165","sim19",0.577447689101234,"kmeans"
"166","sim19",0.365711956454015,"hclust"
"167","sim19",0.633216762010097,"scCoGAPS"
"168","sim19",0.654574766245972,"DR.SC"
"169","sim19",0.760569445683416,"BayesSpace"
"170","sim19",0.72958034804272,"SpaGCN"
"171","sim19",0.732508212785638,"STAGATE"
"172","sim20",0.840485476376866,"scSpace"
"173","sim20",0.708170285695896,"louvain"
"174","sim20",0.748878841551393,"kmeans"
"175","sim20",0.418178532237386,"hclust"
"176","sim20",0.51496102025492,"scCoGAPS"
"177","sim20",0.641465063846069,"DR.SC"
"178","sim20",0.551740780462668,"BayesSpace"
"179","sim20",0.519342878745111,"SpaGCN"
"180","sim20",0.553797603046558,"STAGATE"
"181","sim21",0.992059045366587,"scSpace"
"182","sim21",0.451109399988453,"louvain"
"183","sim21",0.975168979974441,"kmeans"
"184","sim21",-0.106225129624822,"hclust"
"185","sim21",0.448953889075058,"scCoGAPS"
"186","sim21",0.961434963993567,"DR.SC"
"187","sim21",0.428155095409128,"BayesSpace"
"188","sim21",0.385435952143849,"SpaGCN"
