"","simulation","subcluster_num","ARI","method"
"113","sim13",4,0.0154207398101885,"scCoGAPS"
"114","sim13",4,0.0119750617141785,"DR.SC"
"115","sim13",4,0.0323360337264359,"BayesSpace"
"116","sim13",4,0.0240474659429608,"SpaGCN"
"117","sim13",4,0.269789699998037,"STAGATE"
"118","sim14",2,0.780283505220719,"scSpace"
"119","sim14",2,-0.00171808997642803,"louvain"
"120","sim14",2,-0.00140296661038828,"kmeans"
"121","sim14",2,0,"hclust"
"122","sim14",2,-0.00441573053637666,"scCoGAPS"
"123","sim14",2,0.0447388079806041,"DR.SC"
"124","sim14",2,0.21217354314798,"BayesSpace"
"125","sim14",2,0.0038555141322066,"SpaGCN"
"126","sim14",2,0,"STAGATE"
"127","sim15",3,0.661295525829729,"scSpace"
"128","sim15",3,0.242327883170663,"louvain"
"129","sim15",3,0.116005457918177,"kmeans"
"130","sim15",3,-0.00817903290007929,"hclust"
"131","sim15",3,-0.00198798877421571,"scCoGAPS"
"132","sim15",3,0.116529527765573,"DR.SC"
"133","sim15",3,0.0557572863846695,"BayesSpace"
"134","sim15",3,0.0572425565203224,"SpaGCN"
"135","sim15",3,0.211172127031596,"STAGATE"
"136","sim16",4,0.776411119054037,"scSpace"
"137","sim16",4,0.358011695520321,"louvain"
"138","sim16",4,0.397708104347258,"kmeans"
"139","sim16",4,0.00285247398851346,"hclust"
"140","sim16",4,0.0143755792686997,"scCoGAPS"
"141","sim16",4,0.0470277381365439,"DR.SC"
"142","sim16",4,0.230941051520094,"BayesSpace"
"143","sim16",4,0.104126042546607,"SpaGCN"
"144","sim16",4,0.546815721271909,"STAGATE"
"145","sim17",2,0.736842438153403,"scSpace"
"146","sim17",2,0.285053175387123,"louvain"
"147","sim17",2,0.398690815414366,"kmeans"
"148","sim17",2,0.022465121850488,"hclust"
"149","sim17",2,-0.0025302456516639,"scCoGAPS"
"150","sim17",2,0.0133082873320612,"DR.SC"
"151","sim17",2,0,"BayesSpace"
"152","sim17",2,0.00238912871096093,"SpaGCN"
"153","sim17",2,0.0944989404850273,"STAGATE"
"154","sim18",3,0.630275301955001,"scSpace"
"155","sim18",3,0.122018123473038,"louvain"
"156","sim18",3,0.399454959437005,"kmeans"
"157","sim18",3,0.0166331037287572,"hclust"
"158","sim18",3,-0.00474532250114479,"scCoGAPS"
"159","sim18",3,0.0877024494338118,"DR.SC"
"160","sim18",3,0.174683467157057,"BayesSpace"
"161","sim18",3,0.0106909413103497,"SpaGCN"
"162","sim18",3,0.189503496419195,"STAGATE"
"163","sim19",3,0.740007180408177,"scSpace"
"164","sim19",3,0.145329131587731,"louvain"
"165","sim19",3,-0.00135924142873004,"kmeans"
"166","sim19",3,-0.000300233918854289,"hclust"
"167","sim19",3,-0.00587908678185323,"scCoGAPS"
"168","sim19",3,-0.000369006797456226,"DR.SC"
"169","sim19",3,0.184363784527947,"BayesSpace"
"170","sim19",3,0.0723254874853354,"SpaGCN"
"171","sim19",3,0.294414847929395,"STAGATE"
"172","sim20",4,0.6733995864936,"scSpace"
"173","sim20",4,0.380987261383812,"louvain"
"174","sim20",4,0.469739197312101,"kmeans"
"175","sim20",4,0.00375189871727219,"hclust"
"176","sim20",4,-0.00447076778557419,"scCoGAPS"
"177","sim20",4,0.274226017497528,"DR.SC"
"178","sim20",4,0.0489928251674166,"BayesSpace"
"179","sim20",4,0.0106566945805304,"SpaGCN"
"180","sim20",4,0.45233134043227,"STAGATE"
"181","sim21",2,0.852104119968326,"scSpace"
"182","sim21",2,0,"louvain"
"183","sim21",2,0.57161756145232,"kmeans"
"184","sim21",2,0.0267057257073305,"hclust"
"185","sim21",2,0,"scCoGAPS"
"186","sim21",2,0.101681873634091,"DR.SC"
"187","sim21",2,0,"BayesSpace"
"188","sim21",2,-0.020313675121384,"SpaGCN"
"189","sim21",2,0.927103866595706,"STAGATE"
"190","sim22",3,0.883949406087273,"scSpace"
"191","sim22",3,0.670193101995304,"louvain"
"192","sim22",3,0.759365548545715,"kmeans"
"193","sim22",3,0.00112479958738236,"hclust"
"194","sim22",3,0.0248707214496131,"scCoGAPS"
"195","sim22",3,0.761524635566793,"DR.SC"
"196","sim22",3,0.548963944778365,"BayesSpace"
"197","sim22",3,0.266917381540857,"SpaGCN"
"198","sim22",3,0.959090215921321,"STAGATE"
"199","sim23",4,0.819933434053734,"scSpace"
"200","sim23",4,0.42406685292167,"louvain"
"201","sim23",4,0.479239242727889,"kmeans"
"202","sim23",4,0.00101168503119925,"hclust"
"203","sim23",4,0.00140085833902068,"scCoGAPS"
"204","sim23",4,0.481893656418593,"DR.SC"
"205","sim23",4,0.279397293579049,"BayesSpace"
"206","sim23",4,0,"SpaGCN"
"207","sim23",4,0.790563990437601,"STAGATE"
"208","sim24",2,0,"scSpace"
"209","sim24",2,0.339466282627996,"louvain"
"210","sim24",2,0,"kmeans"
"211","sim24",2,0.00369951002040379,"hclust"
"212","sim24",2,0,"scCoGAPS"
"213","sim24",2,0.10933667254283,"DR.SC"
"214","sim24",2,0.0813026430195879,"BayesSpace"
"215","sim24",2,0,"SpaGCN"
"216","sim24",2,0.897249596894423,"STAGATE"
"217","sim25",3,0.785471337718632,"scSpace"
"218","sim25",3,0.54489879164748,"louvain"
"219","sim25",3,0.532498316748291,"kmeans"
"220","sim25",3,0,"hclust"
"221","sim25",3,0.0767734053847884,"scCoGAPS"
"222","sim25",3,0.672792802794326,"DR.SC"
"223","sim25",3,0.191418659787232,"BayesSpace"
"224","sim25",3,0.0239080836325699,"SpaGCN"
"225","sim25",3,0.845432092256397,"STAGATE"
"226","sim26",4,0.520920214714108,"scSpace"
"227","sim26",4,0.317371676965082,"louvain"
"228","sim26",4,0.343004545933663,"kmeans"
"229","sim26",4,-0.000736155125067239,"hclust"
"230","sim26",4,0.00928021678230785,"scCoGAPS"
"231","sim26",4,0.528810442670577,"DR.SC"
"232","sim26",4,0.060273131752944,"BayesSpace"
"233","sim26",4,0.00833473163084138,"SpaGCN"
"234","sim26",4,0.533600040998575,"STAGATE"
"235","sim27",2,0.919913755966483,"scSpace"
"236","sim27",2,0,"louvain"
"237","sim27",2,0.770417385037986,"kmeans"
"238","sim27",2,0.0217754673778071,"hclust"
"239","sim27",2,0,"scCoGAPS"
"240","sim27",2,0.00783659392365055,"DR.SC"
"241","sim27",2,0.000484938045655128,"BayesSpace"
"242","sim27",2,0,"SpaGCN"
"243","sim27",2,0.890927471919016,"STAGATE"
"244","sim28",3,0.577778645977402,"scSpace"
"245","sim28",3,0.368606255173806,"louvain"
"246","sim28",3,0.515631213564537,"kmeans"
"247","sim28",3,0,"hclust"
"248","sim28",3,3.02307739665378e-05,"scCoGAPS"
"249","sim28",3,0.451030193718453,"DR.SC"
"250","sim28",3,0.141851625010978,"BayesSpace"
