"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","logp","group"
"ITK",-0.172799124303752,5.7081047317006,-4.23914341450775,3.17764092876188e-05,9.67415127200839e-05,1.80389472148886,"ITK",4.01438712595264,"no_sig"
"CST2",-0.26479223790419,6.37631000428463,-4.23638823072367,3.21416617745837e-05,9.76726283870897e-05,1.79311469369329,"CST2",4.01022712518539,"no_sig"
"TTR",-0.188090049280575,5.80105640718546,-4.23358644231957,3.25172062432128e-05,9.86315259480476e-05,1.7821585152837,"TTR",4.0059842477677,"no_sig"
"FCER1G",0.541932674565659,5.82272229423155,4.23053634619667,3.29308002508536e-05,9.97020913672252e-05,1.77023845406992,"FCER1G",4.00129573176137,"up"
"WNT5A",-0.161110751103433,5.47691675657989,-4.22072857075583,3.42950862203389e-05,0.000103641767915877,1.73195897856031,"WNT5A",3.98446518745038,"no_sig"
"MYCN",-0.196180405065973,5.60892445228273,-4.21513175968037,3.50976483331644e-05,0.000105752868571183,1.7101491424223,"MYCN",3.97570784345421,"no_sig"
"KRT14",-0.21927156609236,6.09144402328785,-4.21496176832659,3.51223030656118e-05,0.000105752868571183,1.7094871054813,"KRT14",3.97570784345421,"no_sig"
"MASP2",-0.177268739951352,5.69660964438986,-4.21196637781921,3.55594643658471e-05,0.00010687341758218,1.6978252403233,"MASP2",3.97113030258344,"no_sig"
"CCND1",0.365563361959453,6.10162268068793,4.20410951348505,3.67309693740019e-05,0.000110192908122006,1.66727036706302,"CCND1",3.95784635523549,"no_sig"
"NDUFA1",0.294389961157783,6.28175436551255,4.19901259202041,3.75105693391698e-05,0.000112326732228771,1.64747510646714,"NDUFA1",3.94951687528027,"no_sig"
"DAB2",0.265624668661444,5.8789667560346,4.196960113491,3.78289486141818e-05,0.000113074166403118,1.63950961767406,"DAB2",3.94663660524342,"no_sig"
"TSHR",-0.179954663162856,5.56293443069721,-4.19478430501241,3.81692763005874e-05,0.000113884374297941,1.63106917237155,"TSHR",3.943535859957,"no_sig"
"FGF5",-0.202370350128977,5.66861111747764,-4.19071191865246,3.88141294816509e-05,0.000115598603021439,1.61528164980214,"FGF5",3.93704741421779,"no_sig"
"PARP9",0.219541221179685,6.32164689274058,4.18849441259342,3.91696280275234e-05,0.000116446416776218,1.60669056490053,"PARP9",3.93387387078974,"no_sig"
"GADD45B",-0.277791469675925,6.38631303326495,-4.18257188727253,4.01344002784405e-05,0.000119099195050101,1.58376473899628,"GADD45B",3.92409117375216,"no_sig"
"PLA2G4E",-0.191504477387711,5.43454015866562,-4.17343967375085,4.16666191551333e-05,0.000123423282686557,1.54846937912386,"PLA2G4E",3.90860290684645,"no_sig"
