"","celltype","control_median","covid19_median","ratio"
"1","AM",0.120679693639927,0.103153042608924,-0.145232810113827
"2","MDM",0.181064172561014,0.134254102366538,-0.258527512828095
"3","Mon",0.24632290261257,0.214764795923339,-0.128116818836238
"4","TMDM",0.263944593316936,0.147072092370401,-0.44279179761867
